code,product,food subgroup,lci name,preparation,agriculture,transformation,packaging,transport,supermarket_distribution,consumption,total
26103,fish,raw fish,"common dentex, raw",no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
26099,fish,raw fish,"black seabream, raw",no preparation,5.3654111,0.0,0.27564225,1.0488269,0.036974137,0.0066875618,6.733541948799999
26109,fish,raw fish,"blackspot seabream, raw",no preparation,5.3654111,0.0,0.27564225,1.0488269,0.036974137,0.0066875618,6.733541948799999
26088,fish,raw fish,"gilthead seabream, raw, farmed",no preparation,11.359006,0.0,0.27564225,1.0022641,0.036974137,0.0066875618,12.6805740488
26080,fish,raw fish,"gilthead seabream, raw, wild",no preparation,7.722585,0.0,0.27564225,1.0022641,0.036974137,0.0066875618,9.044153048799998
26122,fish,raw fish,"haddock, raw",no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
26241,fish,raw fish,"blue shark, fillet, without skin, raw",no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
26083,fish,raw fish,"pond smelt, raw",no preparation,0.71037021,0.0,0.27564225,0.90555681,0.036974137,0.0066875618,1.9352309688
26082,fish,raw fish,"swordfish, raw",no preparation,3.1435678,0.0,0.27564225,0.78735897,0.036974137,0.0066875618,4.250230718799999
26009,fish,raw fish,"atlantic halibut, raw",no preparation,3.1435678,0.0,0.27564225,0.78735897,0.036974137,0.0066875618,4.250230718799999
26154,fish,raw fish,"greenland halibut, raw",no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
26128,fish,raw fish,"roundnose grenadier, raw",no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
26214,fish,raw fish,"blue grenadier, raw",no preparation,5.3830611,0.0,0.27564225,1.0846444,0.036974137,0.0066875618,6.787009448799999
26219,fish,raw fish,"tub gurnard, raw",no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
26106,fish,raw fish,"red gurnard, raw",no preparation,5.3654111,0.0,0.27564225,1.0488269,0.036974137,0.0066875618,6.733541948799999
26238,fish,raw fish,"atlantic herring, oily, raw",no preparation,1.0832105,0.0,0.27564225,0.90555681,0.036974137,0.0066875618,2.3080712588
26237,fish,raw fish,"atlantic herring, lean, raw",no preparation,1.0832105,0.0,0.27564225,0.90555681,0.036974137,0.0066875618,2.3080712588
26011,fish,raw fish,"atlantic herring, raw",no preparation,1.0832105,0.0,0.27564225,0.90555681,0.036974137,0.0066875618,2.3080712588
26213,fish,raw fish,"grenadier, from any fishing spot, raw",no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
26240,fish,raw fish,"big-scale sand smelt (whole small fish), to fry, raw",no preparation,0.28644409,0.0,0.27564225,0.90555681,0.036974137,0.0066875618,1.5113048488
26130,fish,raw fish,"ling, raw",no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
26129,fish,raw fish,"pollack, raw",no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
26134,fish,raw fish,"saithe, raw",no preparation,4.6079003,0.0,0.27564225,0.95570134,0.036974137,0.0066875618,5.882905588799999
26047,fish,raw fish,"saithe, frozen, raw",no preparation,2.8637885,0.46078456,0.26918334,0.66557938,0.066174622,0.025304288,4.350814690000001
26006,fish,raw fish,"alaska pollock, raw",no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
26057,fish,raw fish,"common dab, raw",no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
26135,fish,raw fish,"lemon sole, raw",no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
26194,fish,raw fish,"blue ling, raw",no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
26018,fish,raw fish,"anglerfish, raw",no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
26172,fish,raw fish,spotted wolffish,no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
26102,fish,raw fish,"atlantic chub mackerel, raw",no preparation,1.0572894,0.0,0.27564225,0.87690279,0.036974137,0.0066875618,2.2534961388
26051,fish,raw fish,"mackerel, raw",no preparation,1.0572894,0.0,0.27564225,0.87690279,0.036974137,0.0066875618,2.2534961388
26095,fish,raw fish,"whiting, raw",no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
26233,fish,raw fish,"shallow-water cape hake, raw",no preparation,5.3830611,0.0,0.26918334,1.0846444,0.036974137,0.0066875618,6.780550538799999
26044,fish,raw fish,"european hake, raw",no preparation,5.3830611,0.0,0.27564225,1.0846444,0.036974137,0.0066875618,6.787009448799999
26048,fish,raw fish,"hake, fillet, frozen, raw",no preparation,5.3830611,0.46078456,0.26918334,1.0846444,0.066174622,0.025304288,7.2891523099999995
26178,fish,raw fish,"grouper, raw",no preparation,3.1435678,0.0,0.27564225,0.78735897,0.036974137,0.0066875618,4.250230718799999
26098,fish,raw fish,"cod, salted, dried",no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
26091,fish,raw fish,"mullet, raw",no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
26171,fish,raw fish,"arctic char, raw",no preparation,4.0724,0.0,0.27564225,0.90555681,0.036974137,0.0066875618,5.297260758799999
26166,fish,raw fish,"garfish, raw",no preparation,0.71037021,0.0,0.27564225,0.90555681,0.036974137,0.0066875618,1.9352309688
27017,fish,raw fish,"brown bullhead, raw",no preparation,11.359006,0.0,0.27564225,1.0022641,0.036974137,0.0066875618,12.6805740488
