code,SOURCE,GROUP,PRODUCT,AGRICULTURE,TRANSFORMATION,PACKAGING,TRANSPORT,SUPERMARKET AND DISTRIBUTION,CONSUMPTION,TOTAL IMPACT,LEVEL
36003,chicken,raw meats,"chicken, meat, raw",4.1425839,0.82416344,0.27564225,0.23303866,0.036974137,0.006687562,5.519089949,1
26079,fish,raw fish,"common anchovy, raw",0.92334433,0,0.27564225,0.90555681,0.036974137,0.006687562,2.148205089,1
26206,fish,raw fish,"mediterranean bass, raw, farmed",11.359006,0,0.27564225,1.0022641,0.036974137,0.006687562,12.68057405,2
26205,fish,raw fish,"mediterranean bass, raw, wild",7.722585,0,0.27564225,1.0022641,0.036974137,0.006687562,9.044153049,2
26072,fish,raw fish,"european bass, raw",11.359006,0,0.27564225,1.0022641,0.036974137,0.006687562,12.68057405,2
26075,fish,raw fish,"atlantic bass, raw",11.359006,0,0.27564225,1.0022641,0.036974137,0.006687562,12.68057405,2
26001,fish,raw fish,"american bass, raw",11.359006,0,0.27564225,1.0022641,0.036974137,0.006687562,12.68057405,2
26100,fish,raw fish,"bogue, raw",0.28644409,0,0.27564225,0.90555681,0.036974137,0.006687562,1.511304849,1
26101,fish,raw fish,"bonito, raw",7.2913297,0,0.27564225,0.78735897,0.036974137,0.006687562,8.397992619,2
26170,fish,raw fish,"freshwater bream, raw",11.359006,0,0.27564225,1.0022644,0.036974137,0.006687562,12.68057435,2
26043,fish,raw fish,"cod, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26108,fish,raw fish,"capelin, raw",7.2913297,0,0.27564225,0.78735897,0.036974137,0.006687562,8.397992619,2
26157,fish,raw fish,"crevalle jack, raw",3.1435678,0,0.27564225,0.78735897,0.036974137,0.006687562,4.250230719,1
26084,fish,raw fish,"megrim, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
27003,fish,raw fish,"carp, raw, farmed",5.4155702,0,0.27564225,0.90555681,0.036974137,0.006687562,6.640430959,1
26236,fish,raw fish,"horse mackerel, oily (autumn, winter), raw",1.0572894,0,0.27564225,0.87690279,0.036974137,0.006687562,2.253496139,1
26235,fish,raw fish,"horse mackerel, lean (spring, summer), raw",1.0572894,0,0.27564225,0.87690279,0.036974137,0.006687562,2.253496139,1
26113,fish,raw fish,"horse mackerel, raw",1.0572894,0,0.27564225,0.87690279,0.036974137,0.006687562,2.253496139,1
26127,fish,raw fish,"conger, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26107,fish,raw fish,"brown meagre, raw",3.1435678,0,0.27564225,0.78735897,0.036974137,0.006687562,4.250230719,1
