PRODUCT,AGRICULTURE,TRANSFORMATION,PACKAGING,TRANSPORT,SUPERMARKET AND DISTRIBUTION,CONSUMPTION,TOTAL IMPACT
"surmullet or red mullet, fillet with skin, frozen, raw (from thailand or senegal)",5.3654111,0.46078456,0.26918334,1.3652074,0.066174622,0.025304288,7.55206531
"nursehound or lesser spotted dogfish, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675
"largehead hairtail, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675
"john dory, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675
"european pilchard or sardine, raw",0.71037021,0,0.27564225,0.90555681,0.036974137,0.006687562,1.935230969
"salmon, raw, farmed",5.2222317,0.028870642,0.27564225,0.78427194,0.036974137,0.006687562,6.354678231
"salema, raw",5.3654111,0,0.27564225,1.0488269,0.036974137,0.006687562,6.733541949
"golden redfish, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675
"tonguesole, raw",5.3654111,0,0.27564225,1.0488269,0.036974137,0.006687562,6.733541949
"common sole, raw",5.3654111,0,0.27564225,1.0488269,0.036974137,0.006687562,6.733541949
"european sprat, raw",0.71037021,0,0.27564225,0.90555681,0.036974137,0.006687562,1.935230969
"pouting, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675
"yellowfin tuna, raw",3.2937992,0,0.27564225,0.78735897,0.036974137,0.006687562,4.400462119
"albacore, raw",7.2913297,0,0.27564225,0.78735897,0.036974137,0.006687562,8.397992619
"skipjack tuna, raw",3.2716502,0,0.27564225,0.78735897,0.036974137,0.006687562,4.378313119
"tuna, raw",3.2937992,0,0.27564225,0.78735897,0.036974137,0.006687562,4.400462119
"rainbow trout, raw, farmed",5.4155702,0,0.27564225,0.90555681,0.036974137,0.006687562,6.640430959
"sea trout, raw",5.4155702,0,0.27564225,0.90555681,0.036974137,0.006687562,6.640430959
"trout, farmed, raw",4.9281689,0,0.27564225,0.84108526,0.036974137,0.006687562,6.088558109
"salmon trout, raw",5.4155702,0,0.27564225,0.90555681,0.036974137,0.006687562,6.640430959
"turbot, raw, farmed",11.359006,0,0.27564225,1.0022641,0.036974137,0.006687562,12.68057405
"turbot, raw, wild",7.722585,0,0.27564225,1.0022641,0.036974137,0.006687562,9.044153049
"turbot, raw",11.359006,0,0.27564225,1.0022641,0.036974137,0.006687562,12.68057405
"snapper, raw",3.1435678,0,0.27564225,0.78735897,0.036974137,0.006687562,4.250230719
"deep water pink shrimp, raw",7.2039694,1.1695713,0.61253833,1.3542844,0.082164749,0.40778319,10.83031137
"shrimp or prawn, raw",5.4165183,0,0.61253833,1.1225833,0.082164749,0.40778319,7.641587869
"shrimp or prawn, cooked",5.4165183,0,0.61253833,1.1225833,0.082164749,0.40778319,7.641587869
"shrimp, frozen, raw",7.2039694,1.1695713,0.59818519,1.3542844,0.14705472,0.44915369,10.9222187
"tofu, plain",0.083403823,0.14573024,0.18574567,0.19543792,0.037393191,0.017733084,0.665443928
plant-based sausage with tofu (vegan),0.36550444,0.3775867,0.23350401,0.22282086,0.040313875,0.088611574,1.328341459
"tofu, smoked",0.015849892,0.76900724,0.10321577,0.16763371,0.031912341,0.086850978,1.174469931
"plant-based ball with wheat and/or soybean, prepacked",0.31705319,0.92185104,0.23350323,0.22973166,0.040313875,0.088611574,1.831064569
cereal patty (without soybean),0.74301255,0.39300959,0.13023448,0.15172195,0.021355895,0.080163416,1.519497881
"plant-based patty or steak from wheat and soybean (vegan), prepacked",0.30259819,0.80907291,0.23350323,0.22954886,0.046708858,0.088611574,1.710043622
soybean and wheat-based nuggets (vegan),0.36309548,0.618569,0.18483001,0.18046144,0.031912463,0.086850978,1.465719371
"red kidney bean, canned, drained",0.48574071,0.19721682,0.28100027,0.19938624,0.025346174,0.011045523,1.199735737
"red kidney bean, cooked",0.21029806,0,0.1139031,0.056411493,0.027863453,0.011045523,0.419521629
"red kidney bean, dried",0.49000391,0,0.26539933,0.13144131,0.064923095,0,0.951767645
"garden peas, raw",0.42662137,0,0,0.21936917,0.020190286,0,0.666180826
"soybean, whole grain",0.9232928,0.007536685,0.26539933,0.24987098,0.022706535,0,1.46880633
"plant-based spread-cheese type, with soybean, prepacked",0.37947665,1.7009885,0.18055336,0.41832514,0.035573861,0.006687562,2.721605073
"plant-based cheese, without soybean, prepacked, sliced",0.52170006,2.0993817,0.26266115,0.43476318,0.035573861,0.006687562,3.360767513
